dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,cwe_flag_count
5353,17,16.230737,10,0,870,0,87,87,87.0,0.0,0,0,0.0,0.0,53.60200217648773,0.616114967545836,1.8034152222222224,0.6377622248471216,2.060026,0.0,16.230737,1.8034152222222224,0.6377622248471216,2.060026,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.616114967545836,0.0,87,87,87.0,0.0,0.0,0,0,0,0,0,0,0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,870,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0
53,17,0.000298,2,1,160,80,80,80,80.0,0.0,80,80,80.0,0.0,805369.1275167785,10067.114093959732,0.000149,0.000149,0.000298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,6711.4093959731545,3355.704697986577,80,80,80.0,0.0,0.0,0,0,0,0,0,0,0,0.5,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,80,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.000168,2,1,160,80,80,80,80.0,0.0,80,80,80.0,0.0,1428571.4285714286,17857.14285714286,8.4e-05,8.4e-05,0.000168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,11904.761904761905,5952.380952380952,80,80,80.0,0.0,0.0,0,0,0,0,0,0,0,0.5,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,80,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.000125,2,1,160,80,80,80,80.0,0.0,80,80,80.0,0.0,1920000.0,24000.0,6.25e-05,6.25e-05,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,16000.0,8000.0,80,80,80.0,0.0,0.0,0,0,0,0,0,0,0,0.5,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,80,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.00023,2,1,160,80,80,80,80.0,0.0,80,80,80.0,0.0,1043478.2608695652,13043.478260869564,0.000115,0.000115,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,8695.652173913044,4347.826086956522,80,80,80.0,0.0,0.0,0,0,0,0,0,0,0,0.5,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,80,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.000194,2,1,160,80,80,80,80.0,0.0,80,80,80.0,0.0,1237113.4020618557,15463.917525773197,9.7e-05,9.7e-05,0.000194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,10309.278350515464,5154.639175257732,80,80,80.0,0.0,0.0,0,0,0,0,0,0,0,0.5,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,80,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.001068,2,1,160,80,80,80,80.0,0.0,80,80,80.0,0.0,224719.10112359552,2808.988764044944,0.000534,0.000534,0.001068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,1872.6591760299627,936.3295880149814,80,80,80.0,0.0,0.0,0,0,0,0,0,0,0,0.5,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,80,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.016918,2,1,178,105,89,89,89.0,0.0,105,105,105.0,0.0,16727.745596406196,177.32592505024235,0.008459,0.008459,0.016918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,118.21728336682824,59.10864168341412,89,105,94.33333333333331,7.542472332656507,56.88888888888889,0,0,0,0,0,0,0,0.5,94.33333333333331,89.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,2,178,1,105,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.016868,2,1,178,89,89,89,89.0,0.0,89,89,89.0,0.0,15828.788238083946,177.85155323689827,0.008434,0.008434,0.016868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,118.56770215793216,59.28385107896609,89,89,89.0,0.0,0.0,0,0,0,0,0,0,0,0.5,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2,178,1,89,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.078126,2,1,194,149,97,97,97.0,0.0,149,149,149.0,0.0,4390.343803599314,38.399508486291374,0.039063,0.039063,0.078126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,25.59967232419425,12.799836162097124,97,149,114.33333333333331,24.513035081133644,600.8888888888888,0,0,0,0,0,0,0,0.5,114.33333333333331,97.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,2,194,1,149,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,3.076895,2,1,194,133,97,97,97.0,0.0,133,133,133.0,0.0,106.27596976822414,0.9750088969561848,1.5384475,1.5384475,3.076895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.6500059313041232,0.3250029656520616,97,133,109.0,16.97056274847714,288.0,0,0,0,0,0,0,0,0.5,109.0,97.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,2,194,1,133,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.017096,2,1,178,89,89,89,89.0,0.0,89,89,89.0,0.0,15617.688348151614,175.4796443612541,0.008548,0.008548,0.017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,116.9864295741694,58.493214787084696,89,89,89.0,0.0,0.0,0,0,0,0,0,0,0,0.5,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2,178,1,89,0,0,2,20,0,0,0,0,0,0,0,0,0
