dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,cwe_flag_count
53,17,0.018594,2,1,180,165,90,90,90.0,0.0,165,165,165.0,0.0,18554.372378186512,161.34236850596966,0.009297,0.009297,0.018594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,107.5615790039798,53.78078950198989,90,165,115.0,35.35533905932738,1250.0,0,0,0,0,0,0,0,0.5,115.0,90.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2,180,1,165,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.03565,2,1,180,195,90,90,90.0,0.0,195,195,195.0,0.0,10518.934081346424,84.15147265077138,0.017825,0.017825,0.03565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,56.100981767180926,28.050490883590463,90,195,125.0,49.49747468305833,2450.0,0,0,0,0,0,0,0,0.5,125.0,90.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,2,180,1,195,0,0,2,20,0,0,0,0,0,0,0,0,0
443,6,4.78688,47,72,74161,6227,7354,54,1577.893617021277,1687.2309208202723,703,54,86.48611111111111,116.0664312958981,16793.401965372017,24.859616284510995,0.0405667796610169,0.3791728474632094,4.13367,0.0,4.78669,0.1040584782608695,0.6019406797847868,4.134017,0.0,4.771241,0.0672005774647887,0.4871493467505746,4.133963,0.0,35,8,0,0,1020,1560,9.818503910689218,15.04111237382178,54,7354,658.3730158730159,1261.471411790184,1591310.12276392,0,3,0,43,127,0,0,1.5294117647058822,646.6821705426356,1577.893617021277,86.48611111111111,64617.0,28.0,29970779.22077922,0.0,0.0,0.0,47,74161,72,6227,64240,32768,45,20,0,0,0,0,0,0,0,0,0
53,17,0.106056,2,1,150,144,75,75,75.0,0.0,144,144,144.0,0.0,2772.1203892283324,28.28694274722788,0.053028,0.053028,0.106056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,18.85796183148525,9.428980915742628,75,144,98.0,32.526911934581186,1058.0,0,0,0,0,0,0,0,0.5,98.0,75.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,144,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.121965,2,1,150,199,75,75,75.0,0.0,199,199,199.0,0.0,2861.476653138195,24.597220514081908,0.0609825,0.0609825,0.121965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,16.398147009387937,8.199073504693969,75,199,116.33333333333331,58.45416057808793,3416.8888888888887,0,0,0,0,0,0,0,0.5,116.33333333333331,75.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,199,0,0,2,20,0,0,0,0,0,0,0,0,0
443,17,21.883686,23,19,12280,17436,1294,73,533.9130434782609,489.1016532594957,10353,68,917.6842105263158,2313.1178105622216,1357.9065245224226,1.9192379199738103,0.5337484390243903,3.09887741164951,20.086572,0.0,21.86822,0.9940099999999998,4.180197591764685,20.102683,0.0,21.866336,1.2147964444444446,4.591862282674587,20.101675,0.0,0,0,0,0,460,380,1.05101124189042,0.8682266780833905,68,10353,707.5238095238095,1608.7132722428348,2587958.392290249,0,0,0,0,0,0,0,0.8260869565217391,707.5238095238095,533.9130434782609,917.6842105263158,0.0,0.0,0.0,0.0,0.0,0.0,23,12280,19,17436,0,0,23,20,0,0,0,0,0,0,0,0,0
443,6,0.047393,8,8,3167,1301,2562,54,395.875,819.2494182939649,703,54,162.625,215.58463390279,94275.5259215496,337.60259954001646,0.0031595333333333,0.005813149242498,0.015321,0.0,0.047208,0.006744,0.0072914835057267,0.01595,0.0,0.033542,0.0047917142857142,0.0066018705728925,0.015321,0.0,4,2,0,0,160,160,168.80129977000823,168.80129977000823,54,2562,279.25,610.265976849439,372424.5625,0,3,0,6,14,0,0,1.0,279.25,395.875,162.625,0.0,0.0,0.0,0.0,0.0,0.0,8,3167,8,1301,64240,32768,4,20,0,0,0,0,0,0,0,0,0
53,17,0.015428,2,1,158,95,79,79,79.0,0.0,95,95,95.0,0.0,16398.755509463314,194.4516463572725,0.007714,0.007714,0.015428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,129.63443090484833,64.81721545242416,79,95,84.33333333333333,7.542472332656507,56.88888888888889,0,0,0,0,0,0,0,0.5,84.33333333333333,79.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,2,158,1,95,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.015335,2,1,158,79,79,79,79.0,0.0,79,79,79.0,0.0,15454.841865014672,195.63090968373004,0.0076675,0.0076675,0.015335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,130.42060645582004,65.21030322791002,79,79,79.0,0.0,0.0,0,0,0,0,0,0,0,0.5,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2,158,1,79,0,0,2,20,0,0,0,0,0,0,0,0,0
443,6,0.104464,13,14,4535,1960,2566,54,348.84615384615387,657.1333837385441,672,54,140.0,170.48837413233113,62174.52902435289,258.46224536682496,0.0040178461538461,0.0087915014106382,0.040475,0.0,0.104464,0.0087053333333333,0.011967609893189,0.042226,0.0,0.04903,0.0037715384615384,0.0054520799787488,0.020079,0.0,8,4,0,0,260,280,124.44478480624905,134.0174605605759,54,2566,240.55555555555557,483.6073042163012,233876.02469135803,0,3,0,12,25,0,0,1.0769230769230769,240.55555555555557,348.84615384615387,140.0,1211.0,5.0,232526.88172043007,0.0,0.0,0.0,13,4535,14,1960,64240,32768,8,20,0,0,0,0,0,0,0,0,0
